Epoch,Generator Loss,Discriminator Loss,Accuracy
1,0.8320672688467443,0.5501254503432036,0.7841249547534374
2,0.8492133689361953,0.5632391854842677,0.8171225244304481
3,0.8475437722113429,0.5543069289382272,0.8022509112244449
4,0.8493747470803364,0.5334561525934612,0.8161195231341056
5,0.850880388042784,0.5287411172429559,0.7968836166942858
6,0.8588300015458483,0.5505947303119262,0.8209229699561745
7,0.8384071159728641,0.5249380034420731,0.8016905161289584
8,0.8286325446319356,0.5462881661080815,0.7875763632020691
9,0.8454809171785033,0.5594459443508759,0.824378544362893
10,0.8224659431117074,0.5438352936456474,0.7928351405408331
11,0.8271506935629193,0.5353227154156078,0.8029766271362697
12,0.8106892756618538,0.5445070389417758,0.8292269684779506
13,0.806524233818251,0.536085217660477,0.830269183836686
14,0.841975324342219,0.5385593654501885,0.8162028216473804
15,0.8348677762490596,0.5533728780653467,0.8195592027725063
16,0.8272267233457887,0.5301379830630515,0.8132439433281123
17,0.813705056552081,0.5521210919407118,0.8080549614801675
18,0.8022378952518134,0.5488670869027324,0.8104935205903069
19,0.7995227878292924,0.5194642984527964,0.8252680851818571
20,0.8012342057225021,0.5133866969329658,0.829482736279548
21,0.8111527400576325,0.513622956789791,0.8320713250143401
22,0.8157266940508596,0.5093003015974906,0.8330132971403535
23,0.8115099358850357,0.5113287388384004,0.8060972237137843
24,0.7942585803676336,0.5338508831815523,0.8232461999432052
25,0.819215019389793,0.5083577500200418,0.8067921463190331
26,0.8084954685045654,0.5172488211301178,0.8274913593745821
27,0.7991129376106602,0.5372644001938803,0.8241918322998331
28,0.7993667890330476,0.5033798570212699,0.8430591877184953
29,0.7896411453542544,0.5340073107321289,0.8226080290735118
30,0.7807255661106585,0.5116823542562421,0.814274517391798
31,0.7830144173501321,0.504114348206907,0.8163319121800726
32,0.7970485382961258,0.5262368335533415,0.8420930783299233
33,0.7652696170962107,0.5225046526467055,0.8373817837571402
34,0.7672959668447664,0.531425411153327,0.8177183764326668
35,0.7624523505788293,0.524708964201135,0.8180581497956203
36,0.7602005806641874,0.5264249515011082,0.8437530509726505
37,0.7907490356053383,0.5045466890253013,0.8196452141321188
38,0.7826361102935683,0.4993424797103726,0.8506295044124306
39,0.7714159327553298,0.5212490798615528,0.8470251992903415
40,0.7543215296913462,0.5224774712033436,0.8230498695930228
41,0.7680319819434488,0.5288038791494147,0.8242098350940199
42,0.7652654014434676,0.5046679723825795,0.8613023178339245
43,0.7512137890821149,0.5020235805745684,0.8378279746873877
44,0.7595989639287026,0.5171789674092717,0.8387032369030838
45,0.756144271008548,0.4987341824264472,0.8574099418739736
46,0.7627972692282111,0.5213119256772039,0.863808310442293
47,0.7615261950142975,0.5173977345635165,0.8663788180631189
48,0.7358937930439431,0.49920057742153134,0.858094311083827
49,0.7470253209115895,0.5110552508749252,0.8440299752579713
50,0.7550343966285694,0.5101817149633873,0.8333400286679468
