Epoch,Generator Loss,Discriminator Loss,Accuracy
1,0.8667574025228866,0.5634768115234969,0.7613035773020634
2,0.8691027972347477,0.5802597718768235,0.7430933496361624
3,0.8629987867180086,0.5810246651289983,0.7555049874542875
4,0.8574256523706905,0.586144109579618,0.7484378115673549
5,0.8566621695379016,0.5723684226655137,0.746616631471972
6,0.868227069088656,0.5589807631322307,0.7847004501119244
7,0.856008450777048,0.5640040974564388,0.7590166027785807
8,0.8602850801562087,0.5659518632845169,0.7795378349770425
9,0.8638101602219495,0.576040771285917,0.758348891496673
10,0.8692484462063991,0.5718107240234911,0.7764437823583449
11,0.8411643223283378,0.5619989710767301,0.7806131960282405
12,0.8695274363645249,0.5859912221966171,0.7750500394202322
13,0.860626219661269,0.5695371152232551,0.7711079455011901
14,0.8367397490330569,0.553570704322501,0.7697389426883398
15,0.8663717163928425,0.546928441761959,0.7682404449474342
16,0.8662226511233133,0.5477470186285978,0.7924872882188926
17,0.8297900571697048,0.5502464724006864,0.7895513069237541
18,0.8363812283748677,0.5456109283997699,0.7959480152021707
19,0.8555133573141714,0.5454218646355217,0.7633392358781973
20,0.8511548774112647,0.5481385006253049,0.7886224541101866
21,0.8265645142436429,0.5424451478934228,0.7979417815381477
22,0.8255168300763256,0.5701563312707713,0.7686778940751979
23,0.8299209249279819,0.5362705743162616,0.7651088302865079
24,0.8324421438974368,0.5528171902766877,0.7931142137267044
25,0.8357505990244771,0.5470281179775456,0.7874687204455639
26,0.8237361374195257,0.5686828997783852,0.7991833551519635
27,0.82544016415553,0.5326448213928445,0.7721215073099496
28,0.8347967967090237,0.5428529994720338,0.7993617128825589
29,0.8043244709727667,0.5644931030453004,0.7766365213733384
30,0.810913804304373,0.5591100809541265,0.776138074449322
31,0.8273094936394638,0.5559481889604201,0.7771828768151989
32,0.832542967385039,0.5323569294083281,0.8042156418704798
33,0.815160975235647,0.527651830026215,0.7992609500523379
34,0.8139376006351023,0.5463375655316711,0.79459608637852
35,0.7948991253515503,0.555542386503879,0.7890470969159606
36,0.8064679232443668,0.5394133728634143,0.81080230734681
37,0.8078353029030989,0.5387828749257347,0.7924324981744565
38,0.7941886160637566,0.5258930412974318,0.8104190796196794
39,0.793218708829812,0.5442491050827795,0.7963409065468904
40,0.7954995297894911,0.5197266479014847,0.7948736955443433
41,0.7791701948498846,0.5239675776194351,0.7993235179573965
42,0.789209697235572,0.5268133759120036,0.7938918496604433
43,0.782743634565576,0.5288758437188068,0.812761518064193
44,0.7853447920463004,0.5170433280721134,0.8039863666241074
45,0.7749945669054231,0.5107159219691599,0.7941864669895463
46,0.8037843565357182,0.5293227608813388,0.8219013502779215
47,0.7898661471217537,0.5152186915173654,0.8022944243651325
48,0.7912457254188409,0.5256985084487412,0.8097012981180289
49,0.7936076658708242,0.5073989984068865,0.8252384762753167
50,0.7799376879571623,0.5192456040741927,0.8149695198365597
