Epoch,Generator Loss,Discriminator Loss,Accuracy
1,1.016330635438666,0.7056812658461714,0.6917779556827833
2,0.9855008429736176,0.6813247822732713,0.6964243173073423
3,0.9776325295775264,0.6823835159107232,0.7160862831872049
4,0.9873332124519189,0.7098197185614913,0.695738104696047
5,1.0030994875521793,0.6960938970802611,0.6908613425205049
6,0.9692740475951539,0.6701638004320121,0.7073740913146604
7,0.9823956259778678,0.6718139637554575,0.7235686399460229
8,0.9818933560417201,0.692254356478608,0.714984049009856
9,0.9568524405352062,0.6638759327416038,0.710965712109697
10,0.9723939600669234,0.6680649751179244,0.6930707332202184
11,0.9538949987781579,0.6815411883093573,0.7148043707006199
12,0.9603942740400697,0.6852268283158709,0.7308266438000889
13,0.956361596593701,0.6815886544617367,0.6978482585686446
14,0.9483697628731944,0.6624401601335244,0.7139984922169984
15,0.9264687336593191,0.6799157402824728,0.7293806371628325
16,0.9521876100276512,0.6588777186019127,0.7249368671591477
17,0.9275250801498899,0.6603629267018809,0.7242071602520556
18,0.9180729853139534,0.6751657786537005,0.7254463021349945
19,0.9081616179070885,0.6692506220843375,0.7127469929875657
20,0.9260846973193664,0.6751934262156855,0.7111314288726205
21,0.9254699214124669,0.6654881891614014,0.7327826094844466
22,0.8949492274428285,0.659875201276276,0.7338331072157387
23,0.9106878039646243,0.6388490315294502,0.7371318723350408
24,0.8951822799875093,0.6477698566121732,0.7399990098573609
25,0.9078477279429087,0.6416285028705343,0.7249434918728049
26,0.884933840833669,0.638739177571898,0.7255708558691205
27,0.9015150605445068,0.6658591977003019,0.7384624194035689
28,0.8852653322193684,0.6406218681703438,0.7335495776392739
29,0.903183485263755,0.6585390050642274,0.7366501036617367
30,0.8671334908270643,0.6460618715705027,0.7414235435121379
31,0.8711936744501736,0.6505679623457475,0.7462124585706619
32,0.8580083286047256,0.6368401776017587,0.7251524593352859
33,0.8863754998331833,0.6377700329360747,0.7276763793300876
34,0.8803996965842189,0.6323537689772443,0.7174327469813899
35,0.8515421549045246,0.618421964409881,0.7378250831908674
36,0.8635422189842243,0.6374695131818888,0.7171519766661554
37,0.8657501124978446,0.6177615067425322,0.7353586146028493
38,0.8511876243007132,0.6054624345756254,0.7394608874291193
39,0.8460839823179137,0.6282678714281233,0.730237160289213
40,0.8304904181666303,0.6074925904415881,0.7434292487901074
41,0.820458804589787,0.6359856903128921,0.7220363365281742
42,0.8485416915426228,0.6344836736923484,0.7233306622438461
43,0.8445881508579618,0.6308802898945322,0.7557611652835292
44,0.8298138542092981,0.6070512459694014,0.7382851766768587
45,0.8139693549072542,0.5908223462938077,0.7299803796897489
46,0.8102949135967513,0.6252960078096315,0.7468080977491309
47,0.8212831251139933,0.6032498149122844,0.7577385176341485
48,0.8240476757042255,0.6227478254148079,0.7365920247733431
49,0.819565089623666,0.6205856154101007,0.7538952108694947
50,0.811195021834305,0.6141203782186944,0.7334138985997507
